Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Pedro Veras,16 WINS,9 LOSSES,7,0,8,1,0,0,0,3,2,1,3,0,0,0
Perttu Tepponen,14 WINS,10 LOSSES,8,0,4,0,2,0,0,5,2,2,1,0,0,0
Philippe Pomaski,24 WINS,13 LOSSES,10,3,6,3,1,0,1,8,1,0,2,1,0,0
Rafael Mansur,59 WINS,33 LOSSES,25,8,14,9,0,0,1,18,6,4,5,0,0,0
Rafael Mendes,93 WINS,7 LOSSES,26,5,59,2,1,0,0,1,1,0,4,0,0,1
Rafael dos Anjos Torres,2 WINS,4 LOSSES,0,0,1,1,0,0,0,1,1,0,2,0,0,0
Rafael Lovato Jr,113 WINS,50 LOSSES,37,5,59,10,0,0,1,27,5,9,9,0,0,0
Rafael Paganini,36 WINS,18 LOSSES,9,3,23,0,0,0,1,11,1,1,3,1,0,0
Rafael Vasconcelos,55 WINS,42 LOSSES,26,4,14,6,1,0,4,18,4,12,7,1,0,0
Rafaela Guedes,23 WINS,2 LOSSES,4,3,9,7,0,0,0,0,0,0,2,0,0,0
Rani Yahya,18 WINS,7 LOSSES,11,0,7,0,0,0,0,3,0,4,0,0,0,0
Renato Canuto,65 WINS,23 LOSSES,32,8,19,5,1,0,0,13,3,2,4,1,0,0
Raul Basílio,13 WINS,13 LOSSES,4,3,4,2,0,0,0,9,1,2,1,0,0,0
Renato Cardoso,168 WINS,64 LOSSES,66,8,86,7,0,0,0,34,16,7,6,1,0,0
Renzo Gracie,14 WINS,5 LOSSES,5,3,4,2,0,0,0,5,0,0,0,0,0,0
Ricardo Abreu,12 WINS,7 LOSSES,5,0,7,0,0,0,0,2,1,4,0,0,0,0
Ricardo Almeida “Cachorrão”,13 WINS,8 LOSSES,6,0,7,0,0,0,0,4,0,1,1,2,0,0
Ricardo Arona,14 WINS,1 LOSSES,9,1,2,0,2,0,0,1,0,0,0,0,0,0
Ricardo Evangelista,109 WINS,55 LOSSES,47,14,35,12,0,0,1,19,6,22,7,1,0,0
Ricardo Libório,11 WINS,3 LOSSES,6,0,4,0,0,0,0,1,0,0,1,1,0,0
Ricardo Vieira,10 WINS,2 LOSSES,6,1,3,0,0,0,0,0,1,1,0,0,0,0
Richar Nogueira,71 WINS,28 LOSSES,30,11,25,5,0,0,0,8,8,8,3,0,0,1
Richard Alarcon,10 WINS,11 LOSSES,9,0,1,0,0,0,0,4,3,4,0,0,0,0
Rickson Gracie,10 WINS,0 LOSSES,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Rida Haisam,36 WINS,16 LOSSES,4,1,26,5,0,0,0,5,1,9,1,0,0,0
Rider Zuchi,29 WINS,9 LOSSES,13,1,12,2,0,0,0,5,1,2,1,0,0,0
Rigan Machado,7 WINS,8 LOSSES,7,0,0,0,0,0,0,3,1,3,0,0,0,0
Robert “Degle” Diggle,19 WINS,4 LOSSES,2,0,17,0,0,0,0,1,0,0,1,2,0,0
Roberto “Tussa” Alencar,51 WINS,35 LOSSES,27,5,17,1,0,0,1,13,5,15,2,0,0,0
Roberto “Cyborg” Abreu,132 WINS,40 LOSSES,56,12,50,11,3,0,0,17,6,13,3,0,0,1
Roberto Jimenez,35 WINS,15 LOSSES,6,0,26,3,0,0,0,3,0,9,2,0,1,0
Roberto “Roleta” Magalhaes,21 WINS,8 LOSSES,7,4,8,2,0,0,0,5,2,1,0,0,0,0
Roberto Satoshi,61 WINS,15 LOSSES,21,3,37,0,0,0,0,10,1,2,0,0,0,0
Roberto Traven,11 WINS,3 LOSSES,9,0,1,0,1,0,0,2,0,1,0,0,0,0
Robson Moura,27 WINS,6 LOSSES,11,4,10,2,0,0,0,4,0,2,0,0,0,0
Rodolfo Vieira,97 WINS,12 LOSSES,23,7,63,4,0,0,0,8,2,2,0,0,0,0
Rodrigo Cavaca,53 WINS,38 LOSSES,19,5,25,2,0,0,2,20,5,12,1,0,0,0
Rodrigo “Akilis” Conceição,26 WINS,16 LOSSES,16,2,7,0,0,0,1,7,4,4,1,0,0,0
Rodrigo Caporal,17 WINS,37 LOSSES,9,2,5,1,0,0,0,22,1,8,5,0,0,1
Rodrigo Francioni,34 WINS,13 LOSSES,16,3,6,9,0,0,0,1,3,7,2,0,0,0
Rodrigo Gracie,9 WINS,2 LOSSES,2,0,5,1,1,0,0,2,0,0,0,0,0,0
Rodrigo “Comprido” Medeiros,25 WINS,21 LOSSES,13,2,9,0,1,0,0,13,1,6,1,0,0,0
Roiter Lima,13 WINS,6 LOSSES,8,2,2,0,0,0,1,2,1,2,1,0,0,0
Roger Gracie,76 WINS,7 LOSSES,12,1,62,1,0,0,0,5,2,0,0,0,0,0
Rolando Samson,19 WINS,8 LOSSES,11,0,7,0,0,0,0,4,1,2,0,1,0,0
Rolls Gracie,4 WINS,0 LOSSES,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Rômulo Azevedo,23 WINS,18 LOSSES,15,1,7,0,0,0,0,9,4,5,0,0,0,0
Romulo Barral,107 WINS,41 LOSSES,32,6,61,6,0,0,2,25,2,8,6,0,0,0
Ronaldo Junior,59 WINS,14 LOSSES,24,2,29,2,1,0,0,5,1,2,3,1,1,0
Ronaldo Souza “Jacare”,47 WINS,6 LOSSES,19,0,27,0,1,0,0,4,1,1,0,0,0,0
Roosevelt Sousa,45 WINS,6 LOSSES,14,0,31,0,0,0,0,3,1,1,0,0,0,1
Ross Nicholls,66 WINS,18 LOSSES,12,4,39,11,0,0,0,7,0,5,5,1,0,0
Rousimar Palhares,4 WINS,5 LOSSES,0,0,4,0,0,0,0,3,0,0,2,0,0,0
Royler Gracie,34 WINS,6 LOSSES,19,4,10,1,0,0,0,3,0,2,1,0,0,0
Ruan Alvarenga,4 WINS,0 LOSSES,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Rubens Charles “Cobrinha”,118 WINS,21 LOSSES,41,5,63,6,0,0,2,11,2,2,5,1,0,0
Rudson Mateus,62 WINS,22 LOSSES,11,7,37,7,0,0,0,6,8,3,4,0,0,1
Ryan Hall,16 WINS,8 LOSSES,8,0,8,0,0,0,0,6,0,2,0,0,0,0
Samir Chantre,112 WINS,58 LOSSES,39,12,49,9,2,0,1,31,5,17,5,0,0,0
Samuel Nagai,15 WINS,4 LOSSES,2,1,8,4,0,0,0,3,0,1,0,0,0,0
Santeri Lilius,48 WINS,27 LOSSES,16,2,27,2,0,0,0,8,1,15,3,0,0,0
Saulo Ribeiro,70 WINS,21 LOSSES,44,11,10,3,2,0,0,12,2,5,1,1,0,0
Seif-Eddine Houmine,30 WINS,10 LOSSES,11,0,16,3,0,0,0,6,1,3,0,0,0,0
Sebastian Brosche,19 WINS,22 LOSSES,8,0,11,0,0,0,0,8,2,11,1,0,0,0
Sebastian Rodriguez,15 WINS,2 LOSSES,8,1,4,1,0,0,1,1,0,1,0,0,0,0
Sergio Ardila-Ibarra,20 WINS,7 LOSSES,9,1,7,3,0,0,0,3,1,1,2,0,0,0
Sergio Moraes,24 WINS,11 LOSSES,12,3,9,0,0,0,0,6,3,2,0,0,0,0
Servio Tulio,36 WINS,18 LOSSES,14,1,18,2,1,0,0,7,4,4,2,0,0,1
Silvio Duran,76 WINS,39 LOSSES,33,8,25,8,0,0,2,11,13,11,3,1,0,0
Tácio Carneiro,2 WINS,3 LOSSES,0,0,1,1,0,0,0,2,0,1,0,0,0,0
Tainan Dalpra,36 WINS,1 LOSSES,10,0,25,0,0,0,0,0,0,0,1,0,0,0
Tarcisio Jardim,11 WINS,11 LOSSES,6,3,2,0,0,0,0,3,0,8,0,0,0,0
Tarsis Humphreys,61 WINS,49 LOSSES,31,3,20,5,1,0,1,25,8,7,7,1,0,0
Thalison Soares,12 WINS,4 LOSSES,3,1,7,1,0,0,0,1,1,0,1,0,0,1
Thamara Ferreira,25 WINS,10 LOSSES,7,0,16,2,0,0,0,5,2,3,0,0,0,0
Thiago Abud,17 WINS,16 LOSSES,10,3,0,2,0,0,2,4,2,9,1,0,0,0
Thiago Macedo,133 WINS,63 LOSSES,77,14,32,9,0,1,0,23,24,10,4,0,2,0
Thiago Sá Fortes,67 WINS,46 LOSSES,34,4,19,9,0,0,1,22,6,15,1,1,0,0
Tom Halpin,17 WINS,9 LOSSES,2,0,15,0,0,0,0,6,0,1,2,0,0,0
Thomas Lisboa,46 WINS,28 LOSSES,17,7,18,2,0,0,1,13,6,7,1,0,0,1
Tommy Langaker,96 WINS,24 LOSSES,19,7,66,2,1,0,1,11,1,10,1,0,0,1
Travis Stevens,2 WINS,4 LOSSES,1,0,1,0,0,0,0,0,0,3,1,0,0,0
Tye Ruotolo,13 WINS,6 LOSSES,2,0,3,8,0,0,0,3,0,1,2,0,0,0
Vagner Rocha,71 WINS,24 LOSSES,21,0,29,16,0,5,0,9,2,4,6,1,1,0
Valdir Araújo “BB Monstro”,31 WINS,30 LOSSES,23,2,4,2,0,0,0,17,1,3,9,0,0,0
Vannessa Griffin,8 WINS,5 LOSSES,1,1,5,0,1,0,0,2,1,1,1,0,0,0
Victor Estima,50 WINS,29 LOSSES,9,3,33,4,0,0,0,16,3,7,1,0,0,1
Victor Hugo,51 WINS,14 LOSSES,10,5,29,6,0,0,0,8,5,0,1,0,0,0
Victor Genovesi,29 WINS,12 LOSSES,8,1,19,1,0,0,0,5,4,3,0,0,0,0
Victor Nithael,18 WINS,8 LOSSES,10,4,3,0,0,0,1,7,0,0,1,0,0,0
Vinícius Ferreira,48 WINS,20 LOSSES,15,6,16,8,1,0,2,5,4,2,8,0,0,1
Vinny Magalhães,36 WINS,23 LOSSES,11,1,21,1,1,1,0,9,3,2,6,1,2,0
Vinicius Pereira,24 WINS,14 LOSSES,11,3,10,0,0,0,0,5,0,8,1,0,0,0
Victor Silverio,92 WINS,57 LOSSES,37,28,12,14,1,0,0,23,11,7,11,2,1,0
Vitor “Shaolin” Ribeiro,20 WINS,9 LOSSES,11,1,7,0,1,0,0,2,2,4,1,0,0,0
Vitor Henrique Oliveira,86 WINS,35 LOSSES,42,9,26,6,1,0,0,9,6,13,7,0,0,0
Wallace Costa,47 WINS,13 LOSSES,31,0,4,7,2,0,1,8,2,3,0,0,0,0
Waldyr Filho,4 WINS,6 LOSSES,2,1,1,0,0,0,0,1,3,0,2,0,0,0
Wallid Ismail,2 WINS,2 LOSSES,1,0,1,0,0,0,0,1,0,0,1,0,0,0
Wanki Chae,25 WINS,16 LOSSES,8,2,15,0,0,0,0,9,5,1,1,0,0,0
William Tackett,38 WINS,12 LOSSES,6,0,28,2,0,2,0,4,0,0,6,0,1,0
Willis Nunes,10 WINS,7 LOSSES,6,0,3,1,0,0,0,4,0,1,1,0,0,1
Yago de Souza,56 WINS,10 LOSSES,25,4,25,1,1,0,0,3,1,2,2,0,0,0
Yatan Bueno,26 WINS,6 LOSSES,11,0,14,0,0,0,0,3,0,3,0,0,0,0
Yara Soares,38 WINS,10 LOSSES,14,0,21,2,0,0,0,10,0,0,0,0,0,0
Ygor Rodrigues,71 WINS,25 LOSSES,38,5,25,2,0,0,0,10,3,10,1,1,0,0
Yuta Shimada,33 WINS,12 LOSSES,13,3,15,1,0,0,0,7,3,1,0,1,0,0
Yuri Hendrex,24 WINS,7 LOSSES,12,1,10,1,0,0,0,5,0,1,0,0,0,1
Yuri Simões,83 WINS,24 LOSSES,41,4,21,14,1,2,0,13,2,4,4,0,1,0
Gianni Grippo,214 WINS,62 LOSSES,115,16,62,17,0,3,0,22,14,6,19,1,0,0
Tim Spriggs,66 WINS,32 LOSSES,30,7,18,10,1,0,0,16,1,8,5,1,0,1
Eddie Bravo,2 WINS,1 LOSSES,0,0,2,0,0,0,0,1,0,0,0,0,0,0
AJ Agazarm,115 WINS,76 LOSSES,62,4,39,7,0,1,0,35,13,10,14,0,2,0
Patrick Gaudio,108 WINS,48 LOSSES,59,10,26,12,1,0,0,15,7,18,7,0,0,1
Jaime Canuto,180 WINS,57 LOSSES,61,24,75,19,0,0,1,27,11,9,10,0,0,0
Andris Brunovskis,39 WINS,13 LOSSES,10,4,23,1,0,0,1,6,2,2,2,0,0,1
Michael Liera Jr.,91 WINS,35 LOSSES,37,7,41,6,0,0,0,17,10,3,5,0,0,0
Erberth Santos,250 WINS,54 LOSSES,71,24,136,15,3,0,1,18,2,24,6,1,0,3
Ricardo Rezende,28 WINS,13 LOSSES,10,3,14,0,0,0,1,6,2,4,1,0,0,0
Alexandre “Café” Dantas,32 WINS,5 LOSSES,23,1,7,1,0,0,0,1,2,1,1,0,0,0
Dimitrius Souza,126 WINS,36 LOSSES,68,12,38,6,0,0,1,12,5,11,8,0,0,0
Geo Martinez,35 WINS,17 LOSSES,4,0,23,2,0,5,0,8,0,2,4,0,3,0
João Pedro “Somalia”,20 WINS,18 LOSSES,10,2,4,3,1,0,0,4,2,11,1,0,0,0
Guilherme Augusto,67 WINS,33 LOSSES,34,5,25,1,0,0,2,11,4,9,9,0,0,0
Guilherme Lambertucci,23 WINS,12 LOSSES,8,2,13,0,0,0,0,6,1,4,1,0,0,0
Osvaldo “Queixinho” Moizinho,140 WINS,49 LOSSES,68,14,39,13,0,0,6,23,6,13,7,0,0,0
Michael Musumeci,55 WINS,5 LOSSES,17,8,26,4,0,0,0,0,2,2,1,0,0,0
Victor Honório,65 WINS,12 LOSSES,37,8,14,4,1,0,1,5,3,2,1,0,0,1
Manuel Ribamar,106 WINS,51 LOSSES,53,9,25,16,0,1,0,18,9,15,7,1,1,0
AJ Sousa,30 WINS,15 LOSSES,10,4,15,1,0,0,0,11,1,2,1,0,0,0
Isaque Paiva,128 WINS,47 LOSSES,43,12,67,4,0,0,1,36,7,3,1,0,0,0
Wellington “Alemão” Luís,36 WINS,26 LOSSES,21,2,8,5,0,0,0,16,2,3,3,1,0,1
Thiago Abreu,39 WINS,21 LOSSES,15,1,23,0,0,0,0,8,3,7,2,0,0,1
Thiago Gaia,16 WINS,7 LOSSES,7,1,6,2,0,0,0,1,1,3,0,1,0,0
Jared Dopp,25 WINS,34 LOSSES,15,3,3,2,2,0,0,16,4,8,6,0,0,0
Mahamed Aly,93 WINS,43 LOSSES,37,8,38,5,2,0,0,18,8,11,6,0,0,0
Tomoyuki Hashimoto,41 WINS,17 LOSSES,17,7,13,3,0,0,1,4,7,4,2,0,0,0
Mansher Khera,35 WINS,22 LOSSES,17,3,13,1,0,0,0,7,5,2,7,0,0,1
Isaac Doederlein,89 WINS,31 LOSSES,21,10,52,6,0,0,0,16,9,0,5,1,0,0
Hiago George,156 WINS,30 LOSSES,69,13,69,5,0,0,0,15,4,3,7,1,0,0
Tanner Rice,78 WINS,59 LOSSES,37,12,14,13,1,0,1,28,6,15,9,0,0,0
Ricco Rodriguez,15 WINS,12 LOSSES,8,0,7,0,0,0,0,4,0,5,1,1,1,0
Djalma Spindola,0 WINS,2 LOSSES,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diego Borges,36 WINS,15 LOSSES,20,5,8,1,1,0,0,6,5,3,1,0,0,0
Rodnei Barbosa,53 WINS,20 LOSSES,20,5,26,2,0,0,0,11,2,2,4,1,0,0
Faisal Al Kitbe,31 WINS,26 LOSSES,17,7,2,2,3,0,0,12,3,7,4,0,0,0
Arnaldo Maidana,83 WINS,59 LOSSES,26,2,47,6,0,0,2,24,2,24,9,0,0,0
Evandro Nunes,14 WINS,12 LOSSES,1,0,13,0,0,0,0,7,0,4,0,0,1,0
Chris Holdsworth,5 WINS,2 LOSSES,1,0,4,0,0,0,0,1,0,1,0,0,0,0
Ruan de Oliveira,61 WINS,32 LOSSES,19,9,29,2,0,0,2,12,4,15,0,0,0,0
Brian Mahecha,31 WINS,41 LOSSES,18,2,10,1,0,0,0,16,3,20,2,0,0,0
Keven Carrasco,10 WINS,6 LOSSES,4,0,5,1,0,0,0,3,2,1,0,0,0,0
Kevin Mahecha,68 WINS,57 LOSSES,25,11,30,1,0,0,0,27,7,21,2,0,0,0
Pedro Araújo,11 WINS,4 LOSSES,2,1,7,1,0,0,0,1,2,1,0,0,0,0
Jonathan Satava,84 WINS,36 LOSSES,46,4,29,5,0,0,0,17,5,9,4,1,0,0
Alec Baulding,42 WINS,25 LOSSES,18,5,18,1,0,0,0,13,4,2,4,2,0,0
Yan “Pica-Pau” Lucas,78 WINS,33 LOSSES,41,14,11,12,0,0,0,10,6,10,6,0,0,1
Darson Hemmings,5 WINS,14 LOSSES,2,1,2,0,0,0,0,6,4,2,2,0,0,0
Richie Martinez,31 WINS,20 LOSSES,0,0,23,0,0,7,0,2,0,16,1,0,1,0
Marcel Fortuna,19 WINS,12 LOSSES,13,3,3,0,0,0,0,5,3,4,0,0,0,0
Francisco Iturralde,66 WINS,43 LOSSES,21,7,31,5,0,0,2,19,6,12,4,1,0,1
Dany Gerard,41 WINS,20 LOSSES,21,1,15,2,0,0,2,9,5,3,2,0,0,0
Jhonny Loureiro,51 WINS,20 LOSSES,24,7,17,1,1,0,1,9,5,6,0,0,0,0
Miguel Ángel Alderete,7 WINS,1 LOSSES,1,0,5,1,0,0,0,0,1,0,0,0,0,0
José Carlos Lima,28 WINS,15 LOSSES,17,1,6,2,1,0,0,4,3,8,0,0,0,0
Max Gimenis,94 WINS,43 LOSSES,47,5,31,11,0,0,0,9,4,25,5,0,0,0
Fernando Reis,73 WINS,25 LOSSES,29,7,31,6,0,0,0,11,4,7,3,0,0,0
Jamil Hill-Taylor,54 WINS,12 LOSSES,11,12,24,5,1,0,1,3,2,2,3,1,0,1
Muslim Patsarigov,16 WINS,16 LOSSES,5,2,9,0,0,0,0,5,2,5,2,1,0,1
Tiago Bravo,50 WINS,32 LOSSES,22,5,18,4,1,0,0,15,6,6,4,0,0,0
Cassio Francis,47 WINS,23 LOSSES,16,3,28,0,0,0,0,9,6,5,3,0,0,0
Breno Bittencourt,36 WINS,23 LOSSES,25,2,8,1,0,0,0,11,2,7,1,0,0,1
Jan Buatim,22 WINS,23 LOSSES,12,0,8,2,0,0,0,12,4,7,0,0,0,0
Enrico Cocco,43 WINS,27 LOSSES,11,1,29,1,0,0,0,16,1,6,3,0,1,0
Ilke Bulut,38 WINS,25 LOSSES,16,5,11,4,1,0,0,12,1,8,3,1,0,0
Kristian Woodmansee,8 WINS,14 LOSSES,1,1,5,1,0,0,0,2,1,8,2,0,0,0
Paul Ardila-Ibarra,20 WINS,9 LOSSES,8,2,8,1,1,0,0,3,0,2,2,2,0,0
Vinicius Garcia,27 WINS,31 LOSSES,15,1,11,0,0,0,0,12,3,15,1,0,0,0
